;Farm;Date;Records source;DIM mean;DIM std;Production today mean;Production today std;Production today sem;Production today mad;Production today min;Production today max;Production avg mean;Production avg std;Calving No mean;Calving No std;Lypsyja Last 24 h mean;Lypsyja Last 24 h std;Ohikulut 24 h mean;Ohikulut 24 h std;Syonti yhteensa mean;Syonti yhteensa std;Syonti yhteensa min;Syonti yhteensa max;Cow count;Benemilk Robo;Opti 40;Barley;Oats;Wheat
0;51663;20.1.2017;LR;136,6060606;85,98265347;40,51717172;9,268357849;0,931505012;7,187797164;20,5;65,9;40,65757576;8,862879374;2,272727273;1,202193419;3,105050505;0,608506659;1,258585859;1,571039569;6,095353535;1,326323223;0,76;8,64;99;7;2,255;;;
1;51663;6.3.2017;LR;139,9029126;92,14188915;39,93980583;9,92226986;0,9776703;8,099198793;23,1;66,4;39,84466019;9,34711582;2,378640777;1,284267586;2,993203883;0,635588678;1,317475728;1,726575847;6,091359223;1,434557422;1,7;8,94;103;7;1,737;;;
2;51663;5.4.2017;LR;152,5742574;92,14014831;40,16138614;9,91487741;0,986567176;7,920772473;19,4;75,4;39,98910891;9,60133221;2,297029703;1,204529406;3,071287129;0,677102154;1,100990099;1,411629913;6,104257426;1,571677668;0,51;9,45;101;7;1,974;;;
3;51663;2.5.2017;LR;152,8181818;86,33115686;39,60909091;9,524737834;0,95727217;7,503581267;21,2;69,5;39,26767677;9,162298841;2,282828283;1,293945115;2,962626263;0,605516453;1,303030303;1,715145888;6,122626263;1,403083765;1,86;9,07;99;7;1,737;;;
4;51663;17.5.2017;LR;153,4455446;88,59395863;39,7960396;9,595821182;0,954819895;7,463091854;14,7;69,4;39,34653465;9,373137835;2,297029703;1,330748319;2,908910891;0,646699159;1,023762376;1,395789992;6,252772277;1,500681924;0,51;9,07;101;7;1,737;;;
5;51663;31.5.2017;LR;163,6138614;91,38128586;40,39405941;9,229526768;0,918372238;7,255269091;24,6;72,2;40,26930693;8,909059912;2,198019802;1,233043405;3,08019802;0,664532889;1,181188119;1,528837001;6,231188119;1,319207555;2,57;9,05;101;7;1,974;;;
6;51663;13.6.2017;LR;168,372549;95,20825756;40,43823529;9,616251139;0,952150744;7,563264129;23,2;67,1;39,80784314;9,672618148;2,205882353;1,276894712;3,104901961;0,659189038;1,501960784;1,864731573;6,213235294;1,433333138;2,51;9,08;102;7;1,974;;;
7;51663;27.6.2017;LR;172,73;96,72233037;40,44;9,754077107;0,975407711;7,744;15,8;65,5;40,65;9,407041206;2,22;1,267941942;3,107;0,645771796;1,455;1,749133985;6,215;1,581277773;0,51;9,96;100;7;1,974;;;
8;51663;11.7.2017;LR;162,0824742;92,94517538;38,84639175;9,422204071;0,956679877;7,217706451;4,2;65,6;40,24329897;9,489280215;2,206185567;1,224218665;3,129896907;0,682087016;1,735051546;1,924190373;6,165876289;1,419186792;0;9,4;97;7;1,737;;;
9;51663;25.7.2017;LR;170,2604167;103,6269874;38,76041667;9,595431799;0,979329657;7,949652778;20;64,3;38,67395833;9,418618122;2,208333333;1,247453547;3,204166667;0,635430507;2,135416667;2,187234696;6,1284375;1,38893244;2,94;9,05;96;7;1,737;;;
10;51663;8.8.2017;LR;177,2105263;107,0240473;37,63473684;9,550145019;0,979824205;7,744753463;17;64;37,72736842;9,407494094;2,189473684;1,214230663;3,182105263;0,690509979;2,262105263;2,057739875;5,936210526;1,552228445;0,88;9,36;95;7;1,737;;;
11;51663;22.8.2017;LR;175,7391304;104,5023655;38,06521739;9,535410405;0,994135257;7,856332703;16,1;60,9;37,88804348;9,068746505;2,130434783;1,206369463;3,197826087;0,654817861;2,197826087;1,973393254;6,016086957;1,664900061;0,51;9,13;92;7;1,737;;;
12;51663;14.9.2017;LR;148,7977528;105,1823287;36,73932584;9,146305985;0,969506495;7,485595253;11,1;62,5;36,74719101;9,051394793;2,134831461;1,244907912;2,980898876;0,684051501;2,03258427;1,863816666;5,924831461;1,791476101;0,51;9,5;89;7;;;;
