;KEY;CowKEY;Records source;Farm;Cow Code;Cow Name;Calving No;CowCalvingKEY;Date;Week;CowCalvPeakProdAvg;CowCalvPeakProdAvgDIM;DistProdToday;DistProdAvg;DistFarm;DistFPM;DistWeight;DistJaanos;DistSyo;DistLyps;AngleProdToday;AngleProdAvg;AngleFarm;AngleFPM;AngleWeight;AngleJaanos;AngleSyo;AngleLyps;SlopeProdToday;SlopeProdAvg;SlopeFarm;SlopeFPM;SlopeWeight;SlopeJaanos;SlopeSyo;SlopeLyps;DiffProdToday;DiffProdAvg;DiffFarm;DiffFPM;DiffWeight;DiffJaanos;DiffSyo;DiffLyps;DiffDIM;DIM-P2;DIM-P1;Lypsy-P2;Lypsy-P1;Syo-P2;Syo-P1;Jaanos-P2;Jaanos-P1;Weight-P2;Weight-P1;FeedPerMilk-P2;FeedPerMilk-P1;FarmProd-P2;FarmProd-P1;ProdAvg-P2;ProdAvg-P1;ProdToday-P2;ProdToday-P1;Unnamed: 63
27;LR-103126-758-B KesÃ¤kuu-20170320-2-90-43;LR-103126-758-B KesÃ¤kuu;LR;103126;758;B KesÃ¤kuu;2;103126-758-B KesÃ¤kuu-2;20170320;12;44;90;32,61426068;33,46699867;32,07261525;32,00000006;44,55333882;32,01380327;32,01050453;32,00765533;0,194388954;0,29718083;0,067304438;-6,25E-05;0,76952648;0,029366555;0,025619393;-0,021871512;0,196875;0,30625;0,06740625;-6,25E-05;0,96875;0,029375;0,025625;-0,021875;6,3;9,8;2,157;-0,002;31;0,94;0,82;-0,7;32;45;13;2,3;3;6,02;5,2;1,07;0,13;661;630;0,144;0,146;35,922;33,765;43,3;33,5;42,6;36,3;
35;LR-103126-791-B, Easynote-20171010-2-45-48;LR-103126-791-B, Easynote;LR;103126;791;B, Easynote;2;103126-791-B, Easynote-2;20171010;41;45,9;45;25,60488235;25,40255893;22,00245989;22,00007384;24,59674775;22,00058181;22,35711073;22,0081803;0,537070551;0,523540617;0,014953431;0,002590903;0,463647609;0,007272599;0,178973359;0,027265968;0,595454545;0,577272727;0,014954545;0,002590909;0,5;0,007272727;0,180909091;0,027272727;13,1;12,7;0,329;0,057;11;0,16;3,98;0,6;22;26;4;3,6;3;6,89;2,91;0,23;0,07;704;693;0,147;0,09;33,364;33,035;44,9;32,2;45,3;32,2;
38;LR-103126-805-B, Litium-20170412-2-90-46,1;LR-103126-805-B, Litium;LR;103126;805;B, Litium;2;103126-805-B, Litium-2;20170412;15;46,7;90;46,34878639;45,83328485;45,0095265;45,0000025;51,4781507;45,01877386;45,04442252;45,00277769;0,241838956;0,190977163;0,020574874;0,000333333;0,507098504;-0,028880856;0,044415215;0,011110654;0,246666667;0,193333333;0,020577778;0,000333333;0,555555556;-0,028888889;0,044444444;0,011111111;11,1;8,7;0,926;0,015;25;-1,3;2;0,5;45;67;22;2,9;2,4;7;5;0,7;2;631;606;0,145;0,13;36,848;35,922;46,3;37,6;48,4;37,3;
73;LR-103494-440-Kakara-20180105-3-62-40,1;LR-103494-440-Kakara;LR;103494;440;Kakara;3;103494-440-Kakara-3;20180105;1;40,3;62;31,59129627;31,0227336;30,00119704;30,00021282;30;30,00000667;30,30095048;30,00266655;0,31874756;0,257487784;-0,008933096;0,003766649;0;0,000666667;0,141056954;0,013332543;0,33;0,263333333;-0,008933333;0,003766667;0;0,000666667;0,142;0,013333333;9,9;7,9;-0,268;0,113;0;0,02;4,26;0,4;30;34;4;2,4;2;6,58;2,32;0,06;0,04;0;0;0,206;0,093;26,836;27,104;34;26,1;37,1;27,2;
87;LR-103494-587-Minni-20171108-1-52-34;LR-103494-587-Minni;LR;103494;587;Minni;1;103494-587-Minni-1;20171108;45;33,4;52;28,87369045;27,74184565;22,00000184;22,00002627;22;22,01019991;22,1542795;22,0081803;0,704494064;0,655036286;-0,000409091;-0,001545453;0;0,030445135;0,118084431;0,027265968;0,85;0,768181818;-0,000409091;-0,001545455;0;0,030454545;0,118636364;0,027272727;18,7;16,9;-0,009;-0,034;0;0,67;2,61;0,6;22;24;2;2,6;2;4,9;2,29;0,75;0,08;0;0;0,163;0,197;27,238;27,247;28,5;11,6;30,3;11,6;
98;LR-103494-975-Jahka-20170717-3-54-38,3;LR-103494-975-Jahka;LR;103494;975;Jahka;3;103494-975-Jahka-3;20170717;29;39,2;54;28,72350953;28,13201024;27,02533811;27,00012452;27;27,00000185;27,17852277;27,00666584;0,34817612;0,28464723;-0,04330624;0,003037028;0;0,00037037;0,114679791;-0,022218565;0,362962963;0,292592593;-0,043333333;0,003037037;0;0,00037037;0,115185185;-0,022222222;9,8;7,9;-1,17;0,082;0;0,01;3,11;-0,6;27;29;2;2,4;3;5,34;2,23;0,08;0,07;0;0;0,152;0,07;30,352;31,522;37,9;30;37,8;28;
104;LR-103545-171-Johto-20171009-4-52-27,3;LR-103545-171-Johto;LR;103545;171;Johto;4;103545-171-Johto-4;20171009;41;35,7;52;23,05666932;23,2432786;22,37385369;22,00001911;23,40939982;22,10774525;22,07028772;22,00090907;0,303919797;0,328553171;-0,183063614;0,001318181;0,348771004;0,098768482;0,079829986;-0,009090659;0,313636364;0,340909091;-0,185136364;0,001318182;0,363636364;0,099090909;0,08;-0,009090909;6,9;7,5;-4,073;0,029;8;2,18;1,76;-0,2;22;33;11;2,7;2,9;6,79;5,03;2,28;0,1;616;608;0,203;0,174;21,294;25,367;34,6;27,1;36,3;29,4;
113;LR-103545-209-Kaneli-20180119-3-36-49,1;LR-103545-209-Kaneli;LR;103545;209;Kaneli;3;103545-209-Kaneli-3;20180119;3;45,5;36;22,76927755;22,13797642;16,00527791;16,0000125;24,8394847;16,00061249;16,40882689;16,07015868;0,791609264;0,763037674;0,025681852;0,001249999;-0,870903457;0,008749777;0,223692701;0,093476781;1,0125;0,95625;0,0256875;0,00125;-1,1875;0,00875;0,2275;0,09375;16,2;15,3;0,411;0,02;-19;0,14;3,64;1,5;16;21;5;4,9;3,4;8,15;4,51;0,23;0,09;700;719;0,181;0,161;27,483;27,072;43,8;28,5;45,1;28,9;
116;LR-103545-231-Luna-20171120-2-39-44,9;LR-103545-231-Luna;LR;103545;231;Luna;2;103545-231-Luna-2;20171120;47;44,3;39;14,76787053;16,22467257;14,00669444;14,000343;14,03566885;14,00008929;14,22146265;14,00035714;0,323891879;0,529849069;-0,030918715;-0,006999886;-0,071307465;-0,003571413;-0,176708856;0,007142736;0,335714286;0,585714286;-0,030928571;-0,007;-0,071428571;-0,003571429;-0,178571429;0,007142857;4,7;8,2;-0,433;-0,098;-1;-0,05;-2,5;0,1;14;25;11;4,1;4;6,1;8,6;0,19;0,24;566;567;0,138;0,236;26,635;27,068;42,2;34;41;36,3;
123;LR-103545-254-Manna-20170801-1-40-33;LR-103545-254-Manna;LR;103545;254;Manna;1;103545-254-Manna-1;20170801;31;31,3;40;14,86606875;15,15387739;14,00147167;14,00016514;17,80449381;14,60498545;14,37454695;14,00571312;0,34302394;0,392760666;0,014498984;0,004857105;0,665969237;-0,288833506;0,228780283;0,028563658;0,357142857;0,414285714;0,0145;0,004857143;0,785714286;-0,297142857;0,232857143;0,028571429;5;5,8;0,203;0,068;11;-4,16;3,26;0,4;14;26;12;2,4;2;6,53;3,27;4,1;8,26;534;523;0,226;0,158;27,297;27,094;26,2;20,4;27,6;22,6;
