;ProdPeriod;DaysInMilk;MilkQuantity;MilkQntyDeviation;AvgMilkQnty;Milkings;PassAvg;KgConcentratedFoodPerKgMilk;FeedTotal;TodaysTotal;LeftoverTotal;Fat%;Protein%;FatToProteinRatio;MasticatingMinutes;AvgWeight;Cells
3;1;;;;;;;;;;;;;;;;
20;-0,034933622;1;;;;;;;;;;;;;;;
26,5;0,310396993;-0,561796089;1;;;;;;;;;;;;;;
1,5;-0,022503833;-0,301356263;0,34798184;1;;;;;;;;;;;;;
25;0,333758898;-0,521995059;0,974369063;0,128166774;1;;;;;;;;;;;;
2,1;0,090696308;-0,291711558;0,481537618;0,119956975;0,480619326;1;;;;;;;;;;;
0;-0,060204638;0,005809459;0,007867418;0,016678017;0,004320765;0,375395111;1;;;;;;;;;;
35,48;-0,080419183;-0,1004626;-0,180640651;0,091574989;-0,213067581;0,014942393;-0,075738562;1;;;;;;;;;
8,8;0,191695994;-0,528062769;0,64807716;0,254828161;0,624433561;0,413530895;-0,052354858;0,591264579;1;;;;;;;;
7,49;0,195603838;-0,663924378;0,762834804;0,253827026;0,746072229;0,388434231;-0,053191516;0,274700169;0,81332659;1;;;;;;;
0,61;0,08438843;-0,103525304;-0,047305154;-0,15399784;-0,013090506;-0,364438428;0,008890997;0,029979755;-0,01721557;0,125785995;1;;;;;;
4,8;0,217911827;0,595803162;-0,495862124;-0,231438795;-0,469022468;-0,28247777;-0,064631261;-0,023901134;-0,397905037;-0,501992464;0,015880727;1;;;;;
3,98;0,215820899;0,371337349;-0,45453731;-0,196703296;-0,433641123;-0,271948464;-0,124631072;0,02812596;-0,337957835;-0,417781283;0,067301887;0,71302833;1;;;;
1,21;0,153924329;0,548763834;-0,366752168;-0,175387686;-0,345890752;-0,19429487;0,00384943;-0,044336908;-0,307297275;-0,392144265;-0,016979928;0,876625728;0,293895596;1;;;
453;-0,027916003;-0,13301057;0,175833932;0,152077829;0,149517703;0,011427277;-0,109338052;-0,055082216;0,077034064;0,098458816;-0,030364183;-0,116693573;-0,053346443;-0,122471925;1;;
595;0,411566152;0,191385676;0,094763627;-0,06799211;0,116562261;-0,072344487;-0,0991506;-0,111083167;-0,035673176;-0,081273997;0,001052324;0,295593296;0,263526274;0,220271622;-0,031151211;1;
27;0,063041451;0,013462437;-0,06138562;-0,072107608;-0,047635514;-0,049286364;-0,099724046;0,081288671;0,007046232;-0,007529226;-0,023489218;0,042053672;0,02719838;0,038906977;0,02481941;0,021143178;1
