;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;Eläimen numero;Nimi;Tuotoskausi numero;Tuotospäivät;Päivätuotos;Päivätuotoksen poikkeama;Päivätuotos. keskim.;Lypsyjä;Keksiarvo Ohikulut;kg väkirehua / 100 kg maitoa;Syönti yht.;Yhteensä tänään;Jäännös yhteensä;Rasva%;Valkuais%;Rasva/valkuais suhde;Märehtimismin. yht.;Paino Keskiarvo;Solut
;753;Takalon Nuna;1;24;36,1;-0,7;36,8;3,3;0,6;20,51;7,59;7,30;0,19;4,11;3,23;1,27;488;561;130
;741;Takalon Noheva;1;45;44,0;2,3;41,7;3,0;1,1;18,13;7,78;7,30;0,12;4,34;3,53;1,23;497;604;198
;750;Takalon Niksu;1;47;36,8;0,9;35,9;2,7;0,3;25,40;8,87;7,30;0,29;2,86;3,17;0,90;482;545;104
;751;Takalon Niina;1;7;22,4;1,4;21,0;1,9;0,3;19,49;4,31;4,99;0,67;1,64;3,97;0,41;431;519;237
;738;Takalon Nide;1;115;40,5;-0,5;41,0;3,3;1,3;14,52;6,10;7,00;0,13;4,38;3,63;1,21;445;565;126
;746;Takalon Nenita;1;42;31,5;0,2;31,3;2,6;0,0;25,60;8,27;7,30;0,26;4,14;3,21;1,29;390;567;706
;752;Takalon Nena;1;2;16,4;-2,2;18,6;1,5;0,0;11,77;2,45;2,98;0,24;6,70;5,32;1,26;406;574;
;739;Takalon Nellukka;1;44;36,3;-0,5;36,8;3,9;0,4;18,13;6,60;7,30;0,21;3,51;3,28;1,07;488;522;25
;754;Takalon Nano;1;35;31,6;-3,5;35,1;2,6;0,3;15,15;5,54;7,30;0,08;4,18;3,35;1,25;372;477;78
;714;Takalon Myle;1;170;37,4;-1,3;38,7;3,7;1,6;19,17;7,21;5,88;0,09;5,10;3,65;1,40;534;574;519
;715;Takalon Muurain;1;63;38,4;-0,6;39,0;2,7;0,1;18,75;7,33;7,30;0,14;3,75;3,28;1,14;439;528;618
;716;Takalon Mustus;1;92;45,2;1,5;43,7;3,1;0,4;16,80;7,51;7,30;0,11;3,75;2,97;1,26;492;589;26
;666;Takalon Musa;1;307;33,0;-0,3;33,3;3,1;4,6;13,54;4,48;5,41;0,09;4,80;3,65;1,32;445;513;34
;705;Takalon Munkki;1;204;33,4;0,3;33,1;3,4;5,0;13,67;4,25;5,33;0,09;3,60;3,16;1,14;399;544;27
;696;Takalon Molina;1;262;34,9;-2,1;37,0;2,6;0,6;18,98;6,78;5,70;0,12;5,08;3,50;1,45;501;574;20
;719;Takalon Mirva;1;198;31,3;0,1;31,2;2,9;3,7;15,49;4,83;5,12;0,09;5,19;3,98;1,30;538;554;8
;729;Takalon Mirva;1;62;38,7;0,5;38,2;2,0;1,1;15,63;6,06;7,80;1,84;4,34;3,38;1,28;581;490;26
;728;Takalon Mirkku;1;89;37,4;-0,7;38,1;2,0;0,3;16,05;6,04;7,30;1,65;4,60;3,41;1,35;470;556;118
;710;Takalon Mirana;1;200;39,2;0,3;38,9;3,0;1,7;14,49;5,72;5,99;0,12;5,42;3,80;1,43;459;571;410
;725;Takalon Miitanen;1;85;40,9;-2,0;42,9;2,6;0,1;18,39;8,15;7,30;0,16;4,10;3,02;1,36;482;555;5
;911;Takalon Mido;1;153;37,5;1,3;36,2;3,4;4,6;14,39;5,48;5,67;0,06;4,19;3,35;1,25;513;517;17
;718;Takalon Messevä;1;202;39,3;-0,8;40,1;3,4;2,9;16,06;6,35;6,80;0,10;4,76;3,47;1,37;405;502;26
;734;Takalon Maserati;1;14;32,1;2,4;29,7;2,3;0,4;17,35;5,45;7,06;0,15;4,40;3,78;1,16;530;586;387
;730;Takalon Marjamehu;1;99;36,4;0,2;36,2;2,4;0,4;22,47;8,54;7,30;0,15;4,65;3,75;1,24;460;565;112
;724;Takalon Marie;1;122;35,1;2,7;32,4;2,0;13,1;16,89;6,05;7,20;1,59;4,84;3,74;1,29;486;518;248
;712;Takalon Männi;1;198;35,5;0,7;34,8;3,4;2,9;13,65;4,78;5,48;0,08;4,95;3,81;1,30;446;554;207
;708;Takalon Maine;1;199;40,8;-0,5;41,3;3,7;0,6;12,86;5,43;6,26;0,15;4,78;3,55;1,35;450;570;55
;687;Takalon Magi;1;292;22,5;-8,2;30,7;1,9;0,1;3,29;1,03;2,00;0,47;5,85;3,86;1,52;476;551;28
;717;Takalon Madiz;1;129;49,6;1,2;48,4;2,4;1,0;10,42;5,12;7,40;0,11;3,58;2,82;1,27;556;568;38
;516;Takalon Ipana;5;144;41,8;-3,0;44,8;2,1;0,0;14,30;6,05;7,00;0,61;5,24;3,50;1,50;472;570;550
;690;T,Mauste;1;186;36,2;-2,3;38,5;2,3;0,0;13,84;4,94;5,87;0,09;4,95;3,25;1,52;539;585;112
;654;T,LIPANA;2;44;49,8;-1,4;51,2;3,7;2,1;17,56;8,60;7,80;0,26;4,21;3,43;1,23;488;526;13
;641;T,Limukka;2;153;40,6;-0,3;40,9;2,9;0,4;18,00;7,51;6,16;0,15;5,14;3,45;1,49;478;566;69
;589;T,Kanelipulla;3;250;35,0;0,7;34,3;2,9;1,0;18,24;6,13;5,44;0,07;4,67;3,62;1,29;381;648;104
