;CowCode;Date;Customer number;BW Delta Process: Up;Base price;Price Modifier Fat;Subsidy Area;Farm Price Per Liter;Content Bacteria Cou;Content Lactose Perc;Income Per Day Per C;Subsidy Per Liter;Price Modifier Prote;Record Update Date;Records source;Sample Type;Record Insert Date;Cow Name;Price High;Days Milking;Average daily milkin;Average daily produc;Content Cell count;Content fat percent;Content fat per prot;Content protein perc;Content urea percent;Farm average product;Feeding total;Content Freezing Poi;Content FFA;Content VHBI;Content Fat Per Prot;Feeding minutes tota;Feed per milk ratio;Feed usage percent f;Feed usage percent f;Leftover total;Milking Last 24 hour;Production change;Production today;Production Yesterday;Passess Last 24 h;Total today;Total production fro;Max Analysis date;Analyis Date;Price date;Last Content Cell Co;Last Content Fat Per;Last Content Protein;Last Content Urea Pe;Weight average;Production period;Price Low;Price Average;Purchased feed cost;Weight Average Diffe;Feeding forecast
0;1,Kiltti,VMS lehmät 2,2,273,,,,0.0,0,;20170210;95096;;0.35;0.0025;C1;0.0;0.0;0.0;0.0;0.079;0.006999999999999999;0;dr;;0;;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0435;0.0351;24.0;0.0;0;0.0;0.0;0.0;0.0;0.0
1;1,Kiltti,VMS lehmät 2,2,273,,,,0.0,0,;20170211;95096;;0.35;0.0025;C1;0.0;0.0;0.0;0.0;0.079;0.006999999999999999;0;dr;;0;;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0435;0.0351;24.0;0.0;0;0.0;0.0;0.0;0.0;0.0
2;1,Kiltti,VMS lehmät 2,2,273,,,,0.0,0,;20170212;95096;;0.35;0.0025;C1;0.0;0.0;0.0;0.0;0.079;0.006999999999999999;0;dr;;0;;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0435;0.0351;24.0;0.0;0;0.0;0.0;0.0;0.0;0.0
3;1,Kiltti,VMS lehmät 2,2,273,,,10.66,0.5,0,;20170122;95096;;0.35;0.0025;C1;0.0;0.0;0.0;0.0;0.079;0.006999999999999999;0;dr;;0;;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0435;0.0351;24.0;0.0;0;0.0;0.0;0.0;0.0;0.0
4;1,Kiltti,VMS lehmät 2,2,273,,,10.66,0.5,0,;20170123;95096;;0.35;0.0025;C1;0.0;0.0;0.0;0.0;0.079;0.006999999999999999;0;dr;;0;;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0435;0.0351;24.0;0.0;0;0.0;0.0;0.0;0.0;0.0
5;1,Kiltti,VMS lehmät 2,2,273,,,10.66,0.5,0,;20170124;95096;;0.35;0.0025;C1;0.0;0.0;0.0;0.0;0.079;0.006999999999999999;0;dr;;0;;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0435;0.0351;24.0;0.0;0;0.0;0.0;0.0;0.0;0.0
6;1,Kiltti,VMS lehmät 2,2,273,,,12.92,0.7,0,;20170121;95096;;0.35;0.0025;C1;0.0;0.0;0.0;0.0;0.079;0.006999999999999999;0;dr;;0;;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0435;0.0351;24.0;0.0;0;0.0;0.0;0.0;0.0;0.0
7;1,Kiltti,VMS lehmät 2,2,273,,0.00,,0.0,0,;20170209;95096;;0.35;0.0025;C1;0.0;0.0;0.0;0.0;0.079;0.006999999999999999;0;dr;;0;;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0435;0.0351;24.0;0.0;0;0.0;0.0;0.0;0.0;0.0
8;1,Kiltti,VMS lehmät 2,2,273,,10.66,12.92,0.7,0,;20170120;95096;;0.35;0.0025;C1;0.0;0.0;0.0;0.0;0.079;0.006999999999999999;0;dr;;0;;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0435;0.0351;24.0;0.0;0;0.0;0.0;0.0;0.0;0.0
9;10,Kimara,VMS lehmät 2,2,122,,64.63,48.10,2.7,93,0;20170120;95096;;0.35;0.0025;C1;0.0;0.0;0.0;0.0;0.079;0.006999999999999999;0;dr;;0;;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0435;0.0351;24.0;0.0;0;0.0;0.0;0.0;0.0;0.0
10;10,Kimara,VMS lehmät 2,2,123,,50.57,48.18,2.7,107,;20170121;95096;;0.35;0.0025;C1;0.0;0.0;0.0;0.0;0.079;0.006999999999999999;0;dr;;0;;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0435;0.0351;24.0;0.0;0;0.0;0.0;0.0;0.0;0.0
11;10,Kimara,VMS lehmät 2,2,124,,42.30,47.55,2.6,80,0;20170122;95096;;0.35;0.0025;C1;0.0;0.0;0.0;0.0;0.079;0.006999999999999999;0;dr;;0;;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0435;0.0351;24.0;0.0;0;0.0;0.0;0.0;0.0;0.0
12;10,Kimara,VMS lehmät 2,2,125,,54.31,47.77,2.6,110,;20170123;95096;;0.35;0.0025;C1;0.0;0.0;0.0;0.0;0.079;0.006999999999999999;0;dr;;0;;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0435;0.0351;24.0;0.0;0;0.0;0.0;0.0;0.0;0.0
13;10,Kimara,VMS lehmät 2,2,126,,33.46,45.97,2.4,75,0;20170124;95096;;0.35;0.0025;C1;0.0;0.0;0.0;0.0;0.079;0.006999999999999999;0;dr;;0;;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0435;0.0351;24.0;0.0;0;0.0;0.0;0.0;0.0;0.0
14;10,Kimara,VMS lehmät 2,2,142,,42.29,47.30,2.6,88,0;20170209;95096;;0.35;0.0025;C1;0.0;0.0;0.0;0.0;0.079;0.006999999999999999;0;dr;;0;;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0435;0.0351;24.0;0.0;0;0.0;0.0;0.0;0.0;0.0
15;10,Kimara,VMS lehmät 2,2,143,,48.29,46.19,2.6,98,0;20170210;95096;;0.35;0.0025;C1;0.0;0.0;0.0;0.0;0.079;0.006999999999999999;0;dr;;0;;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0435;0.0351;24.0;0.0;0;0.0;0.0;0.0;0.0;0.0
